beta,lambda_c1,lambda_c2
1.172363273122508875e+00,6.176961587856270169e-02,-6.176961587856270169e-02
1.177736401905381536e+00,6.510851390661241689e-02,-6.510851390661241689e-02
1.185516989483977435e+00,6.844741188420992717e-02,-6.844741188420992717e-02
1.193348978669053428e+00,7.178630891886558785e-02,-7.178630891886558785e-02
1.201232709039738333e+00,7.178631036958274536e-02,-7.178631036958274536e-02
1.209168522418552882e+00,7.512520848426859632e-02,-7.512520848426859632e-02
1.217156762886231869e+00,7.846410654079022384e-02,-7.846410654079011282e-02
1.222781011331147694e+00,7.846410671101156087e-02,-7.846410671101144985e-02
1.225197776796641325e+00,8.180300428881130681e-02,-8.180300428881119579e-02
1.233291912791796729e+00,8.180300487132147191e-02,-8.180300487132136089e-02
1.241439521816979585e+00,8.514190298020307690e-02,-8.514190298020296588e-02
1.249640957135952801e+00,8.848080100438771023e-02,-8.848080100438759921e-02
1.257896574346278218e+00,9.181969809212475742e-02,-9.181969809212464639e-02
1.266206731394734053e+00,9.181969934243043585e-02,-9.181969934243032483e-02
1.274571788592835375e+00,9.515859740523313626e-02,-9.515859740523302523e-02
1.275366975365646915e+00,9.515859743609884902e-02,-9.515859743609873800e-02
1.282992108632455386e+00,9.849749503925450678e-02,-9.849749503925439575e-02
1.291468056601553283e+00,9.849749567857379873e-02,-9.849749567857368771e-02
1.300000000000000044e+00,1.018363937375080103e-01,-1.018363937375078992e-01
1.330214410250456059e+00,1.085141901444003909e-01,-1.085141901444003909e-01
1.387420571032633720e+00,1.218697826918603566e-01,-1.218697826918603566e-01
1.447086895233745008e+00,1.318864773112454758e-01,-1.318864773112453648e-01
1.509319182718089181e+00,1.419031717961416472e-01,-1.419031717961415362e-01
1.574227783296201499e+00,1.519198660782161148e-01,-1.519198660782160037e-01
1.641927792396281616e+00,1.585976625882186963e-01,-1.585976625882185853e-01
1.712539255150517414e+00,1.652754589078086200e-01,-1.652754589078086200e-01
1.786187379258183272e+00,1.719532549386078857e-01,-1.719532549386078857e-01
1.863002757002964138e+00,1.752921534357216871e-01,-1.752921534357216871e-01
1.943121596818182750e+00,1.786310516358992351e-01,-1.786310516358992351e-01
2.026685964810537754e+00,1.819699497943207400e-01,-1.819699497943207400e-01
2.113844036670625925e+00,1.853088478974016240e-01,-1.853088478974016240e-01
2.204750360416930732e+00,1.886477441883975814e-01,-1.886477441883974704e-01
2.299566130439168798e+00,1.886477460521139293e-01,-1.886477460521138183e-01
2.398459473326941094e+00,1.886477461239104980e-01,-1.886477461239103870e-01
2.501605745990491236e+00,1.886477461432572444e-01,-1.886477461432571334e-01
2.609187846602232241e+00,1.886477461450668802e-01,-1.886477461450667692e-01
2.721396538910359375e+00,1.886477461325885840e-01,-1.886477461325884730e-01
2.838430790499662848e+00,1.886477460933420336e-01,-1.886477460933419226e-01
2.960498125599298369e+00,1.886477459318135486e-01,-1.886477459318134375e-01
3.087814993063153768e+00,1.853088479991683857e-01,-1.853088479991683857e-01
3.220607150175278655e+00,1.853088479420678947e-01,-1.853088479420678947e-01
3.359110062960946053e+00,1.853088473524585611e-01,-1.853088473524585611e-01
3.503569323713199513e+00,1.819699498055554199e-01,-1.819699498055554199e-01
3.654241086475193079e+00,1.819699494380673799e-01,-1.819699494380673799e-01
3.811392521250569487e+00,1.786310516447355834e-01,-1.786310516447355834e-01
3.975302287747232377e+00,1.786310511387002864e-01,-1.786310511387002864e-01
4.146261029494595185e+00,1.752921534729415809e-01,-1.752921534729415809e-01
4.324571889210425013e+00,1.752921519117677795e-01,-1.752921519117677795e-01
4.510551046331174874e+00,1.719532552944622594e-01,-1.719532552944622594e-01
4.704528277658912572e+00,1.686143571947822384e-01,-1.686143571947822384e-01
4.906847542118980776e+00,1.686143571146390685e-01,-1.686143571146390685e-01
5.117867590665321487e+00,1.652754590287947301e-01,-1.652754590287947301e-01
5.337962602414870972e+00,1.652754589432770538e-01,-1.652754589432770538e-01
5.567522848139095260e+00,1.619365608657742928e-01,-1.619365608657742928e-01
5.806955382289077150e+00,1.619365607895152104e-01,-1.619365607895152104e-01
6.056684764781342878e+00,1.585976627065896205e-01,-1.585976627065895095e-01
6.317153813824205599e+00,1.585976626506640508e-01,-1.585976626506639398e-01
6.588824391119583623e+00,1.585976620507813240e-01,-1.585976620507812129e-01
6.872178220832611650e+00,1.552587645152080087e-01,-1.552587645152078977e-01
7.167717743781176765e+00,1.552587643828583497e-01,-1.552587643828582387e-01
7.475967008360120403e+00,1.519198663752687750e-01,-1.519198663752686640e-01
7.797472599779761815e+00,1.519198663296526808e-01,-1.519198663296525698e-01
8.132804609266591100e+00,1.519198661395042560e-01,-1.519198661395041450e-01
8.482557644944611397e+00,1.485809682104551610e-01,-1.485809682104550500e-01
8.847351886189843029e+00,1.485809681743118504e-01,-1.485809681743117394e-01
9.227834183327630058e+00,1.485809680765568797e-01,-1.485809680765567686e-01
9.624679204622596629e+00,1.485809669187627413e-01,-1.485809669187626303e-01
1.003859063259521811e+01,1.452420700390081865e-01,-1.452420700390080754e-01
1.047030241178619647e+01,1.452420700085991223e-01,-1.452420700085990113e-01
1.092058005018126643e+01,1.452420699489279932e-01,-1.452420699489278821e-01
1.139022197660400160e+01,1.452420697821533990e-01,-1.452420697821532880e-01
1.188006095648365523e+01,1.452420670177323458e-01,-1.452420670177322348e-01
1.239096556850835995e+01,1.419031718796527897e-01,-1.419031718796526786e-01
1.292384174478211634e+01,1.419031718653282759e-01,-1.419031718653281648e-01
1.347963437721663205e+01,1.419031718470741277e-01,-1.419031718470740167e-01
1.405932899300630190e+01,1.419031718234373962e-01,-1.419031718234372852e-01
1.466395350215744209e+01,1.419031717922322189e-01,-1.419031717922321079e-01
1.529458002017031326e+01,1.419031717500285894e-01,-1.419031717500284784e-01
1.595232676910608305e+01,1.419031716911457186e-01,-1.419031716911456076e-01
1.663836006040947169e+01,1.419031716054816594e-01,-1.419031716054815484e-01
1.735389636300322280e+01,1.419031714732302829e-01,-1.419031714732301719e-01
1.810020446032138253e+01,1.419031712496376940e-01,-1.419031712496375830e-01
1.887860770010621891e+01,1.419031708078224707e-01,-1.419031708078223597e-01
1.969048634095825889e+01,1.419031695910149826e-01,-1.419031695910148716e-01
2.053727999980009855e+01,1.419031547106565372e-01,-1.419031547106564262e-01
2.142049020459404218e+01,1.385642737218559795e-01,-1.385642737218558684e-01
2.234168305683982680e+01,1.385642737206322361e-01,-1.385642737206321251e-01
2.330249200857371861e+01,1.385642737196310093e-01,-1.385642737196308982e-01
2.430462075879292527e+01,1.385642737188261253e-01,-1.385642737188260143e-01
2.534984627444161731e+01,1.385642737181899675e-01,-1.385642737181898565e-01
2.644002194131485695e+01,1.385642737176954187e-01,-1.385642737176953077e-01
2.757708085046801116e+01,1.385642737173171379e-01,-1.385642737173170269e-01
2.876303922595873175e+01,1.385642737170323380e-01,-1.385642737170322270e-01
3.000000000000000000e+01,1.385642737168213401e-01,-1.385642737168212291e-01
